exchange,instrument_symbol,instrument_token,cost,ltp,stoploss_original,target_original,revised_stoploss,revised_target,sl_gap_percent,tgt_gap_percent,protect_after,protected,quantity,investment_amount,current_value,profit,profit_percent,distance,status,buy_sr_trigger,buy_bo_trigger,fetch_status,time,count,row_colour,sl_buy_tolerance_percent,rev_buy_percent,fund_allotted
NSE,ICICIBANK,1270529,1110.0,1291.8,1030.0,1235.0,1316.05,1492.43,3.0,10.0,1200.0,No,47.0,52170.0,60714.6,8544.6,16.38,14.07,Archive,1110.0,1000000.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,CHAMBLFERT,163073,360.39,484.2,318.0,540.0,526.0,650.0,3.0,10.0,598.0,No,150.0,54058.5,72630.0,18571.5,34.35,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,NATIONALUM,1629185,181.35,229.15,168.25,250.0,226.06,256.35,3.0,10.0,220.0,No,331.0,60026.85,75848.65,15821.8,26.36,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,INFY,408065,36637.0,1760.85,1855.0,2532.0,1835.74,2532.0,3.0,10.0,2300.0,No,29.0,1062473.0,51064.65,-1011408.35,-95.19,100.0,Cancelled,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,PAGEIND,3689729,45079.45,43399.7,39386.0,53350.0,44440.0,53350.0,3.0,10.0,48000.0,No,1.0,45079.45,43399.7,-1679.75,-3.73,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,HDFCBANK,341249,1470.35,1737.3,1271.0,1720.0,1734.12,2145.3,3.0,20.0,1640.0,No,35.0,51462.25,60805.5,9343.25,18.16,4.18,Archive,1470.0,1810.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,BOROLTD,4967169,428.78,455.7,385.0,550.0,385.0,550.0,2.0,10.0,495.0,No,129.0,55312.62,58785.3,3472.68,6.28,-15.51,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#B7D793,2.0,4.0,55000.0
NSE,DBL,4630017,448.63,505.15,337.0,495.0,340.84,495.0,3.0,15.0,700.0,No,157.0,70434.91,79308.55,8873.64,12.6,28.34,Archive,362.0,351.4,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,BEML,101121,3092.28,4063.0,2970.0,4800.0,5241.6,6279.0,4.0,15.0,4600.0,No,10.0,30922.8,40630.0,9707.2,31.39,3.62,Archive,3200.0,4210.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,ITC,424961,185.94,490.3,394.0,500.0,464.0,600.0,12.0,15.0,560.0,No,282.0,52435.08,138264.6,85829.52,163.69,-5.36,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#B7D793,2.0,4.0,55000.0
NSE,SBICARD,4600577,679.0,694.8,639.0,1130.0,639.0,1130.0,5.0,10.0,780.0,No,82.0,55678.0,56973.6,1295.6,2.33,3.57,Buy,670.0,724.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,VAIBHAVGBL,2909185,368.69,292.55,258.0,880.0,258.0,880.0,5.0,10.0,520.0,No,55000.0,20277950.0,16090250.0,-4187700.0,-20.65,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,ABB,3329,8222.3,7430.4,7954.0,8900.0,8692.45,10064.95,5.0,10.0,9000.0,No,7.0,57556.1,52012.8,-5543.3,-9.63,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,SUMICHEM,4378881,352.0,570.6,332.0,530.0,596.6,690.8,5.0,10.0,450.0,No,100.0,35200.0,57060.0,21860.0,62.1,23.76,Archive,344.0,435.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,POWERGRID,3834113,295.7,322.05,255.0,375.0,315.0,420.0,3.0,10.0,420.0,No,186.0,55000.2,59901.3,4901.1,8.91,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
NSE,HAPPSTMNDS,12289,765.43,769.15,730.0,1500.0,757.32,1500.0,3.0,10.0,875.0,No,72.0,55110.96,55378.8,267.84,0.49,0.8,Buy,763.0,780.75,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,3.0,55000.0
